LBA,Frequency
1217409024,12
1234735104,12
3207127040,6
3207151616,5
3221524480,12
3224678400,24
3224203264,11
3223449600,12
3223216128,40
3233185792,12
3224690688,24
3224702976,24
3241336832,13
1234739200,12
1270063104,12
3207163904,8
1294049280,12
1301729280,12
194056192,12
3207188480,4
734609408,46
3207217152,4
3207221248,5
670232576,51
3223457792,3
3223478272,24
3223490560,12
3223539712,24
3207241728,9
3223498752,29
3223584768,12
3223781376,12
3223744512,3
3223724032,15
3224735744,12
3224723456,12
3224715264,4
3224788992,11
3225149440,12
3225108480,12
3207245824,5
1904295936,12
2076405760,12
3207270400,6
3207286784,9
3207290880,12
3207311360,3
3207315456,9
318500864,12
3207319552,11
3227561984,12
3227594752,12
3227660288,12
3227717632,12
3227672576,12
3241127936,14
3241062400,11
3223826432,12
3223736320,24
3223797760,12
3223871488,12
3223883776,12
3223838720,12
3223928832,29
3223904256,12
3224436736,12
3224576000,12
3224424448,12
3224600576,12
3224616960,12
3224629248,12
318636032,12
3207348224,7
729415680,12
3207372800,3
3207393280,11
2411352064,12
2415124480,12
3207397376,7
2176380928,12
3207417856,8
3207442432,10
2045030400,12
3224752128,12
3227783168,10
3227930624,12
3224764416,12
3227906048,12
3224866816,10
3227975680,12
3228184576,12
3228037120,12
3228110848,12
3224023040,24
3228229632,12
2376257536,12
2376581120,12
3207446528,7
2198499328,12
2372653056,12
3207471104,8
2411540480,12
2399096832,12
2399133696,15
3207507968,8
2129281024,12
3207512064,10
3224027136,24
2173939712,12
3224084480,12
3224035328,12
3207536640,7
3224113152,25
3224141824,24
3224846336,12
3224784896,24
3224219648,8
3227435008,24
3227242496,12
3224862720,12
3227312128,12
3227484160,12
3227516928,12
3227779072,24
3241033728,10
3223597056,11
3223437312,12
81534976,12
755437568,12
3207540736,6
3207573504,8
2209210368,18
3207577600,9
514994176,12
514752512,12
3224195072,24
3224211456,41
3233636352,23
3237818368,57
3222142976,12
3241742336,24
3243106304,48
3207602176,8
275869696,35
3207626752,8
3207675904,8
3207680000,7
3207684096,9
3207688192,8
3224281088,22
3224379392,12
3225276416,16
3225313280,12
3228659712,28
3233157120,12
3233640448,3
3235491840,12
3233656832,28
3235467264,28
3235577856,14
3235778560,12
3235528704,12
3235737600,45
3237101568,12
3235819520,28
3237117952,24
3223162880,13
3240378368,12
1399275520,31
194502656,14
328437760,12
399101952,14
3207712768,8
3207741440,8
167989248,13
3207745536,8
3225591808,28
3225595904,4
3225604096,12
3225661440,12
3225714688,12
3207766016,8
3225722880,12
3226017792,12
3225772032,12
3226075136,12
3226030080,12
312332288,19
312197120,12
3207770112,10
3207794688,10
679063552,12
1679859712,12
1802567680,12
3207798784,7
3207827456,12
3235086336,50
3236204544,78
3235532800,13
3235753984,28
3247947776,29
3243417600,28
3249713152,43
3248328704,28
3250003968,6
3223203840,12
3224297472,13
3224326144,28
3224465408,12
3224449024,12
3224539136,28
3224489984,28
3226083328,3
3226140672,12
3226091520,12
3233181696,8
3226206208,28
3226152960,12
3234603008,17
3207847936,6
3207852032,12
3207876608,6
2374594560,12
2371117056,12
3207880704,11
3207884800,8
233357312,6
548397056,58
2310144,232
3207909376,12
576536576,584
109027328,12
556396544,12
1941446656,12
1550389248,16
3207921664,6
117358592,28
2737725440,30
3235557376,15
3235581952,11
3235827712,4
3235565568,5
3236192256,36
3235696640,22
3237146624,28
3238240256,124
3244785664,24
3241615360,13
3245461504,28
3249192960,29
3222220800,20
3223588864,13
3234500608,14
1413459968,11
3207950336,10
1924100096,12
75948032,20
1988235264,27
3207974912,10
3207999488,11
3208019968,5
3208024064,7
16221102080,8
60735488,11
3208044544,10
3208073216,7
3208097792,9
3208101888,10
3208126464,8
3208130560,10
3208151040,7
3208171520,10
3208175616,6
3208200192,9
3208220672,6
3208241152,5
3208269824,10
3208273920,4
3208278016,7
3208298496,10
3224870912,13
3208302592,5
3208323072,9
3208343552,10
3208347648,7
3208372224,10
3208396800,5
3208417280,11
3208421376,8
3208425472,7
3208445952,13
3208450048,10
3208470528,7
3208474624,10
3208495104,6
3208519680,9
3208540160,10
3208564736,7
3208568832,8
3208572928,10
3208577024,15
3240382464,16
3224215552,8
3208601600,10
3208622080,5
3208626176,4
3208650752,8
3208671232,13
156262400,10
3208695808,11
3208720384,6
3208724480,9
3208749056,5
3208769536,9
3208773632,5
3208794112,9
3208818688,10
3208839168,4
3208863744,8
3208867840,6
3208871936,5
3208896512,7
3208916992,14
3208937472,5
3208941568,10
3208966144,6
3208986624,10
3209011200,5
3209035776,14
3209039872,11
3209043968,7
3229921280,87
3209064448,7
3209084928,4
3209089024,5
3209113600,10
3209134080,10
3209158656,7
3209187328,6
3209191424,10
3209195520,9
3209216000,7
3209240576,10
3209265152,7
3209285632,10
3209289728,10
3209310208,4
3209334784,10
3209355264,9
3209363456,7
3209388032,7
1732042752,29
2497409024,855
3209392128,4
3241332736,16
3209416704,12
3209441280,7
3209461760,6
3209465856,8
519229440,13
3209486336,5
3209490432,7
684998656,196
416522240,827
3209510912,13
3209515008,8
3209535488,12
3209560064,8
3209564160,9
3209568256,8
3209592832,10
3209613312,7
3209633792,10
3209637888,14
3209662464,10
3209682944,8
3209707520,7
3209732096,7
3209736192,6
3209760768,8
3209781248,8
3209785344,15
3209805824,7
3209809920,8
3209830400,9
695795712,15
3209854976,8
3209879552,9
3209883648,7
3209887744,11
3209912320,12
3209932800,12
3209957376,10
3209977856,11
3209981952,6
409407488,544
517070848,183
1019944960,40
300179456,32
3210002432,11
3210006528,11
3210031104,9
3210051584,8
3210076160,9
3210080256,4
3210104832,10
3210125312,12
3210129408,7
3210153984,12
3210174464,7
3210194944,5
3210223616,9
3210227712,7
156266496,2
3210244096,8
223072256,28
184729600,21
813928448,19
3210248192,15
813961216,13
184123392,23
184156160,20
184188928,20
184221696,20
2616496128,20
2616463360,20
2616561664,20
2616528896,20
3210252288,11
3210256384,8
1551294464,267
1542632448,265
1507495936,254
1551224832,277
1507487744,254
1508737024,261
1551295488,178
1507504128,258
1502314496,251
1507389440,253
1507488768,145
1502343168,253
1507405824,253
1502315520,142
1500442624,249
1498521600,246
1500443648,189
1498522624,205
1498390528,243
1498435584,244
1494728704,243
1498436608,198
1498391552,172
1494704128,243
1494705152,219
1494729728,187
1493409792,241
1493381120,240
1493382144,219
1493410816,200
1493372928,240
1493360640,234
3210285056,8
1493373952,207
130076672,233
131256320,253
122032128,221
2280140800,242
130093056,191
131420160,188
2280124416,242
130109440,236
121753600,145
131141632,215
131387392,241
121851904,218
131944448,182
131403776,216
1490477056,142
1541591040,203
990613504,148
1541550080,245
3210293248,7
3230113792,134
3230167040,128
3234353152,143
3230789632,126
3231858688,126
3232583680,133
3233214464,141
3234381824,166
3234365440,129
36414832640,133
36414885888,237
3210317824,7
1472925696,142
1298997248,142
1226137600,139
1349611520,145
3210342400,13
3210366976,7
3210387456,11
3210391552,6
3210412032,10
3210436608,11
3210457088,2
3210481664,10
3210485760,5
3210489856,4
3210510336,9
3210530816,13
2901463040,4
584740864,28
2679443456,14
3210534912,11
2679447552,20
117608448,4
3210539008,7
156270592,6
2216849408,16
3210563584,9
3210567680,9
548388864,968
775180288,1653
576454656,239
3210592256,11
3248992256,248
3228598272,181
3228815360,65
167620608,193
3210596352,11
3210620928,12
3210645504,5
3210649600,10
3210674176,7
2077421568,25
3210694656,7
29945856,128
1872621568,18
250589184,137
60739584,14
485089280,27
16204652544,10
3210698752,10
3210723328,6
3210727424,10
3248967680,391
3248988160,116
3210747904,8
3210772480,5
3210797056,9
3210801152,7
3210825728,13
16247840768,4
3210846208,6
3210850304,5
3210874880,9
3210895360,8
3210915840,11
3210919936,5
3210944512,12
3210969088,10
3210993664,11
3210997760,8
3211022336,12
156274688,4
3211046912,7
3211071488,9
3211096064,8
3211116544,9
3211141120,6
3211145216,12
3211169792,10
3211190272,10
3211194368,10
3211214848,6
3211239424,12
3211259904,8
3211284480,9
3211288576,10
3211292672,7
3232645120,172
3211317248,12
3211341824,7
156278784,6
3211362304,10
3211382784,12
3211386880,5
3211411456,13
3211431936,9
3211456512,5
3211460608,11
3211485184,3
3211489280,6
3211509760,10
3211534336,11
3211558912,7
3211579392,6
3211603968,10
3211608064,6
3211612160,9
3211632640,6
3211657216,7
3211677696,10
3211681792,9
3211706368,8
3211726848,10
3211747328,8
3211776000,8
3211780096,8
3211804672,8
3211825152,3
3211849728,11
3211874304,12
3211894784,7
3211923456,6
3211927552,6
3211952128,7
3211972608,5
3211976704,8
3211997184,8
3212021760,5
3212042240,6
3212066816,10
3212070912,6
3212075008,5
3212095488,14
3212120064,8
3212144640,8
3212169216,10
3212189696,13
3212214272,7
3212218368,14
3212242944,4
3212267520,4
3212288000,11
3212292096,8
3212312576,10
3212337152,10
3212357632,6
3212382208,12
3212386304,11
3212390400,8
3212414976,13
3212435456,5
3212455936,5
3212460032,6
3212484608,4
3212505088,14
3212529664,5
3212554240,8
3212558336,7
3212582912,5
3212603392,16
3212607488,15
3212632064,14
3212652544,3
3212673024,11
3212701696,9
3212705792,6
3212730368,14
3212750848,5
3212775424,4
3212800000,5
3212820480,14
3212845056,8
3212849152,12
3212873728,7
3212898304,4
3212918784,12
3212922880,12
16221106176,7
3212947456,7
3212972032,7
3212976128,9
3212996608,7
3213000704,8
3213025280,10
3213029376,12
3213049856,8
3213053952,9
3213074432,6
3213099008,9
3213119488,11
3213144064,9
3213148160,11
3213152256,9
3213176832,11
3213197312,7
932564992,23
3213221888,7
3213225984,7
3213246464,7
3213271040,10
3213275136,6
3213299712,8
3213324288,10
3213348864,11
3213369344,5
3213393920,7
3213418496,10
3213422592,8
3213447168,6
3213471744,10
3213492224,6
3213496320,12
3213516800,9
3213541376,6
3213561856,9
3213586432,13
3213590528,10
3213594624,5
3213615104,9
3213639680,7
3213660160,9
3213664256,5
3213688832,10
3213709312,7
3213729792,4
3213758464,6
236396544,30
3213762560,7
3213787136,6
277483520,6
3213807616,17
3213811712,12
3213832192,5
3213856768,5
3213877248,13
3213901824,13
3213905920,16
3213910016,8
3213930496,6
3213955072,5
3213979648,5
3214004224,15
3214024704,10
3214049280,6
3214053376,7
3214082048,7
3214102528,8
3214127104,14
3214151680,6
3214172160,7
3214196736,12
3214221312,14
3214225408,8
3214249984,14
3214270464,5
3214274560,7
3214295040,6
3214319616,10
3214340096,6
3214364672,6
3214368768,5
3214372864,5
3214397440,4
3214417920,6
3214442496,8
3214467072,9
3214487552,7
3214512128,8
3214516224,7
3214520320,6
3214540800,8
3214561280,11
3214565376,11
3214589952,8
3214610432,8
3214635008,10
3214659584,9
3214663680,7
3214688256,10
3214712832,6
3214733312,7
3214737408,7
3214757888,6
3214782464,8
3214802944,7
3214827520,11
3214831616,8
3214835712,6
3214856192,11
3214880768,10
3214905344,7
3214925824,9
3214950400,8
3214974976,6
3214979072,8
217378816,19
1357950976,15
1357983744,12
1908269056,22
1908301824,20
3214983168,7
1908334592,22
1908367360,21
3047202816,22
3047235584,21
3047268352,22
3047301120,20
3214987264,7
3215020032,10
36414849024,64
36414865408,128
36414898176,64
3215044608,8
3215065088,7
3215069184,8
3215093760,8
3215114240,8
3215134720,3
3215163392,7
3215167488,5
3215192064,8
3215212544,7
3215237120,13
3215241216,14
3215265792,7
3215290368,5
3215294464,6
3215319040,8
3215323136,7
277487616,4
3215343616,4
3215368192,8
3215392768,10
3215413248,8
3215437824,7
3215462400,9
3215466496,5
3215491072,10
3215511552,11
3215536128,7
16221110272,9
3215560704,6
3215564800,9
3215585280,9
3215589376,7
3215613952,11
3215638528,7
3215642624,7
674820096,18
932671488,77
3215667200,9
16098201600,6
3215683584,6
3215687680,7
3215691776,11
3215695872,8
3215720448,10
16098205696,8
3215724544,10
2351104,40
932569088,9
16247844864,5
279052288,18
2293760,3237
2318336,74
2326528,56
3215728640,6
3228827648,90
3215732736,5
548220928,48
1680400384,2507
2182238208,555
516005888,152
117022720,179
516120576,410
1691869184,1787
1691885568,588
3215736832,11
775016448,475
3229831168,109
3229904896,71
3231461376,51
3232550912,50
3232559104,50
3232137216,86
3234402304,48
3234357248,60
3234717696,73
3246493696,49
3244019712,104
3245756416,60
3246501888,49
3226845184,87
3223019520,85
3228430336,64
3229552640,151
3228905472,75
550731776,141
1980248064,49
1276641280,68
1461653504,116
1996206080,48
2052493312,87
2060517376,146
3215765504,7
1543442432,60
177594368,122
2052562944,48
3215794176,8
3215818752,8
3215843328,10
3215847424,7
3215867904,7
3215872000,8
3215892480,8
3215896576,9
3215921152,7
3215941632,7
3215966208,8
3215990784,9
3216015360,9
3216019456,11
3216039936,13
3216044032,8
3216048128,11
3216072704,10
3216093184,5
3216113664,5
3216117760,8
3216142336,13
3216162816,9
3216187392,3
3216191488,5
3216216064,6
3216240640,9
3216265216,11
3216285696,8
3216289792,8
3216293888,9
3216314368,7
3216318464,6
3216343040,6
3216367616,9
3216388096,8
3216412672,8
3216437248,6
3216441344,6
3216465920,9
3216486400,13
3216515072,11
277491712,10
3216539648,6
3216564224,10
3216584704,9
3216609280,12
3216613376,10
3216633856,8
3216654336,7
3216683008,6
3216687104,9
3216711680,7
3216732160,8
3216736256,11
3216756736,8
